Extracting MNIST_data/train-images-idx3-ubyte.gz
Extracting MNIST_data/train-labels-idx1-ubyte.gz
Extracting MNIST_data/t10k-images-idx3-ubyte.gz
Extracting MNIST_data/t10k-labels-idx1-ubyte.gz
###################################################
step 0, training err 0.886364
step 8900, training err 0.620691
###################################################
step 9000, training err 0.633291
###################################################
step 9100, training err 0.615109
###################################################
step 9200, training err 0.643782
###################################################
step 9300, training err 0.657727
###################################################
step 9400, training err 0.6176
###################################################
step 9500, training err 0.650455
###################################################
step 9600, training err 0.611891
###################################################
step 9700, training err 0.628291
###################################################
step 9800, training err 0.607036
###################################################
step 9900, training err 0.631582
###################################################
step 10000, training err 0.620418
###################################################
step 10100, training err 0.699127
###################################################
step 10200, training err 0.6428
###################################################
step 10300, training err 0.665091
###################################################
step 10400, training err 0.617291
###################################################
step 10500, training err 0.647873
###################################################
step 10600, training err 0.635418
###################################################
step 10700, training err 0.678436
###################################################
step 10800, training err 0.699473
###################################################
step 10900, training err 0.650618
###################################################
step 11000, training err 0.652764
###################################################
step 11100, training err 0.621109
###################################################
step 11200, training err 0.629091
###################################################
step 11300, training err 0.623564
###################################################
step 11400, training err 0.684655
###################################################
step 11500, training err 0.620436
###################################################
step 11600, training err 0.649309
###################################################
step 11700, training err 0.655673
###################################################
step 11800, training err 0.6324
###################################################
step 11900, training err 0.633182
###################################################
step 12000, training err 0.659545
###################################################
step 12100, training err 0.646273
###################################################
step 12200, training err 0.622691
###################################################
step 12300, training err 0.635764
###################################################
step 12400, training err 0.632055
###################################################
step 12500, training err 0.618182
###################################################
step 12600, training err 0.654764
###################################################
step 12700, training err 0.670564
###################################################
step 12800, training err 0.648545
###################################################
step 12900, training err 0.607109
###################################################
step 13000, training err 0.619855
###################################################
step 13100, training err 0.648618
###################################################
step 13200, training err 0.617836
###################################################
step 13300, training err 0.607709
###################################################
step 13400, training err 0.625709
###################################################
step 13500, training err 0.619745
###################################################
step 13600, training err 0.649073
###################################################
step 13700, training err 0.624345
###################################################
step 13800, training err 0.6128
###################################################
step 13900, training err 0.656691
###################################################
step 14000, training err 0.615673
###################################################
step 14100, training err 0.635891
###################################################
step 14200, training err 0.619855
###################################################
step 14300, training err 0.651582
###################################################
step 14400, training err 0.649782
###################################################
step 14500, training err 0.632273
###################################################
step 14600, training err 0.627673
###################################################
step 14700, training err 0.608109
###################################################
step 14800, training err 0.609982
###################################################
step 14900, training err 0.673091
###################################################
step 15000, training err 0.691891
###################################################
step 15100, training err 0.633073
###################################################
step 15200, training err 0.612455
###################################################
step 15300, training err 0.615945
###################################################
step 15400, training err 0.641455
###################################################
step 15500, training err 0.615745
###################################################
step 15600, training err 0.627164
###################################################
step 15700, training err 0.638564
###################################################
step 15800, training err 0.6958
###################################################
step 15900, training err 0.622164
###################################################
step 16000, training err 0.608164
###################################################
step 16100, training err 0.708527
###################################################
step 16200, training err 0.640545
###################################################
step 16300, training err 0.611509
###################################################
step 16400, training err 0.686418
###################################################
step 16500, training err 0.658255
###################################################
step 16600, training err 0.623836
###################################################
step 16700, training err 0.633909
###################################################
step 16800, training err 0.6374
###################################################
step 16900, training err 0.634673
###################################################
step 17000, training err 0.631764
###################################################
step 17100, training err 0.657945
###################################################
step 17200, training err 0.627855
###################################################
step 17300, training err 0.664927
###################################################
step 17400, training err 0.633091
###################################################
step 17500, training err 0.641382
###################################################
step 17600, training err 0.675127
###################################################
step 17700, training err 0.603273
###################################################
step 17800, training err 0.645018
###################################################
step 17900, training err 0.6382
###################################################
step 18000, training err 0.634964
###################################################
step 18100, training err 0.673873
###################################################
step 18200, training err 0.626582
###################################################
step 18300, training err 0.692836
###################################################
step 18400, training err 0.638764
###################################################
step 18500, training err 0.686255
###################################################
step 18600, training err 0.606764
###################################################
step 18700, training err 0.639927
###################################################
step 18800, training err 0.638745
###################################################
step 18900, training err 0.633691
###################################################
step 19000, training err 0.632509
###################################################
step 19100, training err 0.653364
###################################################
step 19200, training err 0.625491
###################################################
step 19300, training err 0.680455
###################################################
step 19400, training err 0.641655
###################################################
step 19500, training err 0.623255
###################################################
step 19600, training err 0.622327
###################################################
step 19700, training err 0.690255
###################################################
step 19800, training err 0.628055
###################################################
step 19900, training err 0.645473
test accuracy 0.354527
